item_id,d_value
1,410
2,361
3,19
4,57
5,190
6,189
7,94
8,299
9,427
10,370
11,370
12,370
13,332
14,910
15,199
16,180
17,71
18,71
19,175
20,85
21,85
22,33
23,66
24,113
25,47
26,47
27,108
28,15
29,15
30,149
31,72
32,28
33,140
34,559
35,275
36,26
37,37
38,305
39,305
40,237
41,23
42,23
43,23
44,23
45,46
46,54
47,54
48,54
49,54
50,310
51,99
52,99
53,68
54,27
55,27
56,45
57,180
58,134
59,160
60,160
61,115
62,115
63,115
64,74
65,74
66,22
67,35
68,35
69,70
70,140
71,140
72,140
73,140
74,65
75,65
76,195
77,30
78,145
79,45
80,90
81,90
82,90
83,180
84,160
85,79
86,69
87,69
88,69
89,125
90,85
91,140
92,55
93,85
94,85
95,23
96,23
97,27
98,65
99,80